firma,kurum_tipi,sektor,rusya_baglantisi,email,telefon,web,kaynak
SÖKE TRAKTÖR VE EKİPMANLARI PETROL ÜRÜNLERİ SANAYİ TİCARET LİMİTED ŞİRKETİ,Firma,Traktör yedek parçaları,Azerbaycan ihracatı resmi oda ihracatçı listesinde belirtiliyor,soketraktor@jdbayi.com,(256) 557-4395,,https://www.sto.org.tr/Portals/15/dis%20ticaret/%C4%B0hracat%C3%A7ı%20firmalar_102019.pdf
ALIN FRESH DIŞ TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,emsamexexport@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
B.Ş.F. AÇIKYÜREK ÜRÜNLERİ KOMİSYON TAŞIMACILIK İNŞAAT DIŞ TİCARET İTHALAT VE İHRACAT LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,bsfacikyurektarim@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
AKDENİZ BİRLİK TARIM TAŞIMACILIK TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,muhasebe@akdenizbirliktarim.com.tr,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
ER İNŞAAT HAFRİYAT GIDA TURİZM TAŞIMACILIK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,info@ergidatarim@hotmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
ERBEYLER TARIM LOJİSTİK GIDA GÜMRÜK İNŞAAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,sercan@erbeyler.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
GRD GROUP DIŞ TİCARET VE PAZARLAMA LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,info@grdexport.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
İYİ TİCARET GIDA LTD. ŞTİ.,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,info@iyigidaexport.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
KUMEY TARIM PAZARLAMA TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,kumeyfresh@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
MS OLGUN GIDA LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,olgunokur07@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
NATUREX DIŞ TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,naturexgida@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
TALYA FRESH TARIM İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,talyafreshtarim@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
SARP FRESH DIŞ TİCARET BAŞPEHLİVAN ORHAN LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,emsamexexport@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
SEMİRS GIDA TARIM DIŞ TİCARET VE SANAYİ LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,info@semirsgida.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
SUNFRUİ GIDA TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,bsfacikyurektarim@gmail.com,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
SOY EXPORT TARIM ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Firma,Taze meyve-sebze ihracatı,Ukrayna taze salatalık/domates anti-damping soruşturmasında ihracatçı olarak kayıtlı,info@soyexport.com.tr,,,https://oaib.org.tr/Uploads/Sirkuler/20241141-6495.pdf
